objectid,street_num,street_name,longitude,latitude,meter_type,point
200174,11,WALTER U LUM PL,-122.40578220200001,37.794598097800005,SS,"(37.79459809838463, -122.40578220185681)"
200201,436,PACIFIC AVE,-122.4034628009,37.7973636006,SS,"(37.79736360095116, -122.40346280137899)"
200208,713,DAVIS ST,-122.39889509950001,37.7994833001,SS,"(37.79948329994935, -122.39889509894438)"
200305,525,PACIFIC AVE,-122.40471469959999,37.7971256998,SS,"(37.79712569991404, -122.40471470001465)"
200335,145,COLUMBUS AVE,-122.4054937025,37.796938599,SS,"(37.79693859917946, -122.40549370174492)"
200392,745,FRONT ST,-122.399917999,37.7985570998,SS,"(37.79855709997793, -122.3999179992993)"
200399,412,PACIFIC AVE,-122.4025995989,37.7974735991,SS,"(37.79747359938714, -122.40259959880338)"
200420,417,JACKSON ST,-122.40254900020001,37.7964957998,MS,"(37.796495800380235, -122.402549000324)"
200483,112,COLUMBUS AVE,-122.40462410239999,37.7965580997,SS,"(37.79655809988658, -122.40462410146031)"
200550,840,CLAY ST,-122.40750369959999,37.7941509009,SS,"(37.794150900656625, -122.40750370012915)"
200555,804,MONTGOMERY ST,-122.4034851023,37.796626501599995,SS,"(37.79662650213052, -122.40348510195712)"
200582,506,JACKSON ST,-122.40378049729999,37.7964216982,SS,"(37.79642169812139, -122.40378049691964)"
200584,805,MONTGOMERY ST,-122.40358999899999,37.7965910015,SS,"(37.79659100085001, -122.40358999944829)"
200602,526,PACIFIC AVE,-122.40469280040001,37.7972105023,SS,"(37.79721050192119, -122.40469279967327)"
200621,625,WASHINGTON ST,-122.4043538027,37.795344299499995,SS,"(37.79534429993606, -122.40435380256321)"
200631,114,BROADWAY,-122.4004728978,37.7987346006,SS,"(37.79873460085934, -122.4004728977734)"
200657,207,GREEN ST,-122.4029888708,37.800201801300005,SS,"(37.800201800782254, -122.40298887133906)"
200669,907,SANSOME ST,-122.40236633479999,37.798730301,SS,"(37.79873030113519, -122.4023663352779)"
200691,1018,SANSOME ST,-122.4024599955,37.7999839366,SS,"(37.79998393704011, -122.4024599959578)"
200786,915,GRANT AVE,-122.4066120998,37.7956184995,SS,"(37.79561850012374, -122.40661209985016)"
200810,593,EMBARCADERO NORTH,-122.3990474992,37.80052599770001,SS,"(37.80052599834001, -122.39904749885888)"
200826,1007,SANSOME ST,-122.4025596243,37.799683999,SS,"(37.79968399921634, -122.40255962448572)"
200834,129,BROADWAY,-122.4007807666,37.7985327834,MS,"(37.79853278284075, -122.40078076647515)"
200876,930,CLAY ST,-122.4089912974,37.7939623025,SS,"(37.7939623021141, -122.40899129679163)"
200914,66,VALLEJO ST,-122.3991144986,37.7998649002,SS,"(37.799864900217855, -122.39911449909896)"
200915,705,GRANT AVE,-122.4062184018,37.7936228019,SS,"(37.79362280211393, -122.4062184017109)"
200949,921,WASHINGTON ST,-122.4088879989,37.7948001017,-,"(37.79480010171788, -122.40888799898217)"
200970,414,BROADWAY,-122.4043775012,37.7982362014,SS,"(37.79823620124986, -122.404377500804)"
200983,828,WASHINGTON ST,-122.40750300110001,37.7950525981,SS,"(37.79505259834105, -122.40750300083945)"
201069,575,02ND ST,-122.39239030120001,37.7822198988,SS,"(37.7822198986506, -122.39239030126522)"
201147,37,LAPU-LAPU ST,-122.3985374996,37.7820277017,SS,"(37.78202770199968, -122.39853750009175)"
201218,580,02ND ST,-122.3923516162,37.7819450048,SS,"(37.78194500510492, -122.39235161575114)"
201261,635,SACRAMENTO ST,-122.4042905026,37.793565598200004,SS,"(37.79356559808826, -122.40429050337187)"
201298,503,WASHINGTON ST,-122.4019057003,37.7956353975,SS,"(37.79563539655754, -122.4019056995747)"
201300,521,DAVIS ST,-122.3985572026,37.7978002978,SS,"(37.797800297853605, -122.39855720259163)"
201315,154,PERRY ST,-122.3982290008,37.7810728018,-,"(37.78107280240802, -122.39822900105018)"
201325,606,KEARNY ST,-122.4045870991,37.7938367975,SS,"(37.79383679656142, -122.4045870991634)"
201331,411,04TH ST,-122.399187019,37.7805697503,SS,"(37.78056975039087, -122.39918701933283)"
201344,716,MONTGOMERY ST,-122.4033673397,37.7960595075,MS,"(37.79605950661634, -122.40336733984093)"
201395,217,PACIFIC AVE,-122.4004609005,37.7976603982,SS,"(37.797660398181165, -122.40046089949952)"
201432,741,FOLSOM ST,-122.40007729989999,37.782757000000004,SS,"(37.782757000394916, -122.40007729983284)"
201494,417,WASHINGTON ST,-122.40088229780001,37.7957466979,MS,"(37.79574669810779, -122.4008822980183)"
201519,106,PERRY ST,-122.3971112014,37.7819522981,-,"(37.78195229824983, -122.39711120071921)"
201520,12,SOUTH PARK,-122.39313610059999,37.7823423975,MS,"(37.78234239818998, -122.39313610095552)"
201598,345,BRANNAN ST,-122.39277260860001,37.781169938299996,SS,"(37.78116993806966, -122.39277260882506)"
201628,710,SACRAMENTO ST,-122.4051195008,37.793541598000004,SS,"(37.79354159821976, -122.40511950128179)"
201671,537,WASHINGTON ST,-122.4029220005,37.7955068973,MS,"(37.79550689666965, -122.40292200037652)"
201730,466,BRYANT ST,-122.39507184610001,37.7820537582,MS,"(37.78205375804486, -122.39507184562494)"
