objectid,street_num,street_name,longitude,latitude,meter_type
200392,745,FRONT ST,-122.399917999,37.7985570998,SS
200399,412,PACIFIC AVE,-122.4025995989,37.7974735991,SS
200420,417,JACKSON ST,-122.40254900020001,37.7964957998,MS
200483,112,COLUMBUS AVE,-122.40462410239999,37.7965580997,SS
200550,840,CLAY ST,-122.40750369959999,37.7941509009,SS
200555,804,MONTGOMERY ST,-122.4034851023,37.796626501599995,SS
200582,506,JACKSON ST,-122.40378049729999,37.7964216982,SS
200584,805,MONTGOMERY ST,-122.40358999899999,37.7965910015,SS
200602,526,PACIFIC AVE,-122.40469280040001,37.7972105023,SS
200621,625,WASHINGTON ST,-122.4043538027,37.795344299499995,SS
200631,114,BROADWAY,-122.4004728978,37.7987346006,SS
200657,207,GREEN ST,-122.4029888708,37.800201801300005,SS
200669,907,SANSOME ST,-122.40236633479999,37.798730301,SS
200691,1018,SANSOME ST,-122.4024599955,37.7999839366,SS
200786,915,GRANT AVE,-122.4066120998,37.7956184995,SS
200810,593,EMBARCADERO NORTH,-122.3990474992,37.80052599770001,SS
200826,1007,SANSOME ST,-122.4025596243,37.799683999,SS
200834,129,BROADWAY,-122.4007807666,37.7985327834,MS
200876,930,CLAY ST,-122.4089912974,37.7939623025,SS
200914,66,VALLEJO ST,-122.3991144986,37.7998649002,SS
200915,705,GRANT AVE,-122.4062184018,37.7936228019,SS
200949,921,WASHINGTON ST,-122.4088879989,37.7948001017,-
200970,414,BROADWAY,-122.4043775012,37.7982362014,SS
200983,828,WASHINGTON ST,-122.40750300110001,37.7950525981,SS
201069,575,02ND ST,-122.39239030120001,37.7822198988,SS
201147,37,LAPU-LAPU ST,-122.3985374996,37.7820277017,SS
201218,580,02ND ST,-122.3923516162,37.7819450048,SS
201261,635,SACRAMENTO ST,-122.4042905026,37.793565598200004,SS
201298,503,WASHINGTON ST,-122.4019057003,37.7956353975,SS
201300,521,DAVIS ST,-122.3985572026,37.7978002978,SS
201315,154,PERRY ST,-122.3982290008,37.7810728018,-
201325,606,KEARNY ST,-122.4045870991,37.7938367975,SS
201331,411,04TH ST,-122.399187019,37.7805697503,SS
201344,716,MONTGOMERY ST,-122.4033673397,37.7960595075,MS
201395,217,PACIFIC AVE,-122.4004609005,37.7976603982,SS
201432,741,FOLSOM ST,-122.40007729989999,37.782757000000004,SS
201494,417,WASHINGTON ST,-122.40088229780001,37.7957466979,MS
201519,106,PERRY ST,-122.3971112014,37.7819522981,-
201520,12,SOUTH PARK,-122.39313610059999,37.7823423975,MS
201598,345,BRANNAN ST,-122.39277260860001,37.781169938299996,SS
201628,710,SACRAMENTO ST,-122.4051195008,37.793541598000004,SS
201671,537,WASHINGTON ST,-122.4029220005,37.7955068973,MS
201730,466,BRYANT ST,-122.39507184610001,37.7820537582,MS
201860,710,MONTGOMERY ST,-122.4033344652,37.7958925536,MS
201872,324,JACKSON ST,-122.4012321976,37.7967528001,MS
201882,606,FRONT ST,-122.39947270200001,37.7971979015,SS
201935,568,WASHINGTON ST,-122.4031900984,37.7956008975,SS
201968,712,SACRAMENTO ST,-122.4051986986,37.7935315006,SS
202004,540,CLAY ST,-122.40298609969999,37.7947636013,MS
202022,623,04TH ST,-122.3957848993,37.7778623988,-
202028,107,SOUTH PARK,-122.3946455975,37.7809253027,MS
202046,907,HOWARD ST,-122.4051673,37.7811976028,SS
202060,86,TOWNSEND ST,-122.3903511015,37.7808676016,SS
202144,161,TOWNSEND ST,-122.3917945993,37.7794873984,SS
202151,607,BRYANT ST,-122.3982412999,37.77929109980001,SS
202171,656,EMBARCADERO SOUTH,-122.3884171002,37.782784201999995,SS
202209,116,KING ST,-122.3902297986,37.7795731005,SS
202268,545,BRANNAN ST,-122.3975228981,37.7774126985,SS
202278,674,BRYANT ST,-122.399908416,37.778239404500006,SS
202285,450,03RD ST,-122.39631989940001,37.7815831982,SS
202313,126,SOUTH PARK,-122.39499069719999,37.7808658023,MS
202383,79,TOWNSEND ST,-122.3900739008,37.780844897899996,SS
202387,397,BRANNAN ST,-122.3940613006,37.7801518989,SS
202400,635,03RD ST,-122.3933953975,37.7794874989,SS
202455,943,FOLSOM ST,-122.40441680110001,37.7793311988,SS
202510,718,03RD ST,-122.3923214019,37.7783844014,SS
202514,160,STILLMAN ST,-122.39798139940001,37.7805082024,MS
202518,535,BRYANT ST,-122.39662869989999,37.7805676022,SS
202546,833,HARRISON ST,-122.40062130209999,37.77986930020001,SS
202549,7,BLUXOME ST,-122.395857314,37.777512575500005,SS
202583,853,FOLSOM ST,-122.4024378003,37.780891898,SS
